賽事編號,球員ID,球隊ID,得分,兩分球進,兩分球投,三分球進,三分球投,罰球進,罰球投,進攻籃板,防守籃板,籃板,助攻,抄截,阻攻,犯規,失誤
5498,13161,happy,0,0,1,0,0,0,0,0,2,2,0,0,0,1,1
5498,13162,happy,4,2,4,0,1,0,0,1,0,1,1,1,0,0,0
5498,12712,happy,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
5498,12713,happy,24,6,11,3,9,3,7,0,5,5,1,3,2,0,0
5498,12719,happy,22,11,18,0,1,0,2,10,2,12,3,0,3,1,1
5498,12720,happy,6,3,7,0,0,0,0,2,2,4,0,0,0,1,0
5498,12723,happy,11,5,8,0,3,1,1,0,2,2,8,0,0,3,1
5486,12713,happy,8,4,8,0,4,0,2,3,1,4,1,1,0,1,0
5486,12714,happy,24,11,16,0,0,2,2,1,3,4,6,1,1,1,0
5486,12715,happy,18,3,4,4,10,0,2,2,2,4,0,0,0,0,1
5486,12717,happy,14,4,5,2,4,0,0,2,3,5,1,2,0,1,1
5486,12719,happy,6,3,6,0,0,0,0,2,7,9,0,0,0,0,1
5486,12720,happy,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
5486,12722,happy,4,2,7,0,0,0,0,4,2,6,0,0,0,1,1
5486,12723,happy,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1
5413,12712,happy,3,0,3,1,1,0,0,0,0,0,0,0,0,0,0
5413,12713,happy,22,7,13,2,4,2,3,3,1,4,1,2,1,0,4
5413,12715,happy,17,3,9,3,7,2,5,2,11,13,1,2,0,1,1
5413,12862,happy,7,3,4,0,0,1,2,3,4,7,1,1,0,1,0
5413,12717,happy,11,4,9,0,1,3,5,6,7,13,2,1,0,1,2
5413,12718,happy,15,0,1,5,10,0,0,1,2,3,5,2,0,2,3
5413,12723,happy,4,2,5,0,0,0,0,2,0,2,0,1,0,3,0
5331,12713,happy,38,9,18,6,15,2,0,4,7,11,2,0,0,0,2
5331,12862,happy,2,1,7,0,1,0,0,1,5,6,2,1,0,0,3
5331,12722,happy,15,7,18,0,0,1,2,8,9,17,3,2,0,4,1
5331,12723,happy,2,1,4,0,1,0,0,2,3,5,3,1,0,1,3
5251,12712,happy,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
5251,12713,happy,14,4,9,1,3,3,3,2,6,8,3,4,0,0,4
5251,12715,happy,22,6,13,3,7,1,2,4,5,9,6,2,0,1,4
5251,12719,happy,20,10,17,0,0,0,3,5,5,10,2,1,2,4,2
5251,12722,happy,10,5,10,0,0,0,4,5,6,11,2,0,0,3,3
5251,12723,happy,0,0,2,0,2,0,0,1,2,3,1,1,0,4,5
