賽事編號,球員,得分,兩分球進,兩分球投,兩分球%,三分球進,三分球投,三分球%,罰球進,罰球投,罰球%,進攻籃板,防守籃板,籃板,助攻,抄截,阻攻,犯規,失誤
5498,陳世峰 #1,0,0,1,0%,0,0,-,0,0,-,0,2,2,0,0,0,1,1
5498,游黃翰 #8,4,2,4,50%,0,1,0%,0,0,-,1,0,1,1,1,0,0,0
5498,王亭乃 #9,0,0,1,0%,0,1,0%,0,0,-,0,1,1,0,0,0,1,0
5498,陳炳亨 #17,24,6,11,55%,3,9,33%,3,7,43%,0,5,5,1,3,2,0,0
5498,蔡佳良 #42,22,11,18,61%,0,1,0%,0,2,0%,10,2,12,3,0,3,1,1
5498,林育醇 #46,6,3,7,43%,0,0,-,0,0,-,2,2,4,0,0,0,1,0
5498,徐一正 #66,11,5,8,63%,0,3,0%,1,1,100%,0,2,2,8,0,0,3,1
5486,陳炳亨 #17,8,4,8,50%,0,4,0%,0,2,0%,3,1,4,1,1,0,1,0
5486,向志偉 #18,24,11,16,69%,0,0,-,2,2,100%,1,3,4,6,1,1,1,0
5486,黃立閎 #23,18,3,4,75%,4,10,40%,0,2,0%,2,2,4,0,0,0,0,1
5486,溫東齊 #29,14,4,5,80%,2,4,50%,0,0,-,2,3,5,1,2,0,1,1
5486,蔡佳良 #42,6,3,6,50%,0,0,-,0,0,-,2,7,9,0,0,0,0,1
5486,林育醇 #46,2,1,1,100%,0,0,-,0,0,-,0,0,0,0,0,0,0,0
5486,陳子朋 #52,4,2,7,29%,0,0,-,0,0,-,4,2,6,0,0,0,1,1
5486,徐一正 #66,0,0,1,0%,0,0,-,0,0,-,0,1,1,0,0,0,0,1
5413,王亭乃 #9,3,0,3,0%,1,1,100%,0,0,-,0,0,0,0,0,0,0,0
5413,陳炳亨 #17,22,7,13,54%,2,4,50%,2,3,67%,3,1,4,1,2,1,0,4
5413,黃立閎 #23,17,3,9,33%,3,7,43%,2,5,40%,2,11,13,1,2,0,1,1
5413,黃柏璁 #27,7,3,4,75%,0,0,-,1,2,50%,3,4,7,1,1,0,1,0
5413,溫東齊 #29,11,4,9,44%,0,1,0%,3,5,60%,6,7,13,2,1,0,1,2
5413,陳柏彥 #37,15,0,1,0%,5,10,50%,0,0,-,1,2,3,5,2,0,2,3
5413,徐一正 #66,4,2,5,40%,0,0,-,0,0,-,2,0,2,0,1,0,3,0
5331,陳炳亨 #17,38,9,18,50%,6,15,40%,2,0,-,4,7,11,2,0,0,0,2
5331,黃柏璁 #27,2,1,7,14%,0,1,0%,0,0,-,1,5,6,2,1,0,0,3
5331,陳子朋 #52,15,7,18,39%,0,0,-,1,2,50%,8,9,17,3,2,0,4,1
5331,徐一正 #66,2,1,4,25%,0,1,0%,0,0,-,2,3,5,3,1,0,1,3
5251,王亭乃 #9,0,0,1,0%,0,0,-,0,0,-,0,0,0,0,0,0,0,2
5251,陳炳亨 #17,14,4,9,44%,1,3,33%,3,3,100%,2,6,8,3,4,0,0,4
5251,黃立閎 #23,22,6,13,46%,3,7,43%,1,2,50%,4,5,9,6,2,0,1,4
5251,蔡佳良 #42,20,10,17,59%,0,0,-,0,3,0%,5,5,10,2,1,2,4,2
5251,陳子朋 #52,10,5,10,50%,0,0,-,0,4,0%,5,6,11,2,0,0,3,3
5251,徐一正 #66,0,0,2,0%,0,2,0%,0,0,-,1,2,3,1,1,0,4,5
